tag,name,trophies,clan_tag,clan_name
#8V9P9PU8,Ryan,10000,#G0JPUQ0G,Star
#UR8QLRP2P,Muhammet Eren,149,#QRP8QGJQ,Legend
#VCC909P0C,Gurgel Günter,3941,#GLQPJCU8,Clan
#UYCYC8VLP,rey,498,#G8QUQ9G2,La familia Pro
#2YGLJ8U9P,Kart,8281,#8C2LCYY0,BCN PRO TEAM
#Y2Q8QRJCC,Sebi,2686,#GQGG9VVJ,wai bouli
#V0VCRJ80C,noob,315,#LG8RQL8R,Legend
#9RC9GGJL,Nononainona,6740,#R9CPP8U0,Como quieras xd
#20Y9CRJ0RJ,yester 999,3186,#RQCJPUCJ,COMO LOKO
#JUP0GGLYV,Tiago,7000,#G2CYU8VU,Fati Pro
#V2QY2U89V,jiyan,1360,#QRJ200GC,217
#9U8G0VG9U,달려라족발,7930,#GC0R2QVL,KING
#JGQ20C99G,Redacted,307,#L8CRR22J,DFD
#G022RVV0,RizkazPT,10000,#QC2YYY8R,LUSIT@NOS PRO
#Q0QR8JCU9,amirrad2,1442,#L0CVC20J,star
#2VC2P9Q9,Swordfish,9620,#282UUPQ,king
#VVLCL2PQ8,you,6053,#GRULPLCP,pro rawdawger
#L0VCGV0Q0,evos,457,#YQJYPJYL,Wai Ar yu gblk
#QYL20RUJ9,black_dø_zerø,850,#YY8VPCGG,War war war war
#9U2CQ8RRU,edgar,10000,#LY9YGCUL,TEAM PEKKAS PRO
#VJR9QLC89,EdreyRR,10000,#9VULRLL0,STAR
#V90Q2QGYY,angelo,7603,#Q2CRQYPQ,Hzcrew
#9Y0ULL99C,Danielic09,8919,#Q8YVLLR,TEAM WAIKI
#UCV0JYLGU,ebane-gavno,6127,#LPV99RJP,pro diamenty
#22GVVYPU9,trolistico,8234,#RP9UQ2RJ,nikinho the pro
#8PQJP2U8,Cleanoise,9710,#QCLVJVJR,Como Femminile
#208VRPYCVC,greysontooasian,1064,#RCUG2P8C,rmexsoldierpeak
#V0GV20PJC,kingHippo21,2353,#QLYCGYR8,WAR
#CUGJQRVJU,Mika,7212,#GYC0RJ82,COR Squad
#UC20PJ8QG,kunal,1010,#LRJCUURL,LEGEND
#V2QQ2VG9P,huntmo,0,#GRY29U2U,217 Mafia
#JGR220UVR,…..,2903,#RRLCGL8V,War
#UP08JCQGQ,AmirSenator✨CR,9512,#G20VQ2P2,919Clash
