card_id,trophy_bin,appearances,wins_with_card,total_battles_bin,usage_rate,win_rate,card_name
28000025,0-4999,124,76,47493,0.0026109110816330827,0.6129032258064516,Spirit Empress
28000011,5000-9999,45058,29407,79712,0.5652599357687675,0.6526476985219051,The Log
26000055,5000-9999,38705,23794,79712,0.48556051786431154,0.6147526159410929,Mega Knight
26000011,5000-9999,34090,20286,79712,0.4276645925331192,0.5950718685831622,Valkyrie
26000021,5000-9999,31579,18408,79712,0.3961636892814131,0.5829190284682859,Hog Rider
26000064,5000-9999,30904,18769,79712,0.3876957045363308,0.6073323841573907,Firecracker
28000004,5000-9999,29929,17556,79712,0.3754641710156564,0.5865882588793477,Goblin Barrel
26000007,5000-9999,29751,17206,79712,0.3732311320754717,0.5783335013949111,Witch
28000001,5000-9999,29349,16371,79712,0.36818797671617826,0.557804354492487,Arrows
26000018,5000-9999,29311,16772,79712,0.36771126053793657,0.5722083859301969,Mini P.E.K.K.A
26000012,5000-9999,28031,16281,79712,0.35165345242874346,0.5808212336341907,Skeleton Army
26000000,5000-9999,27770,15772,79712,0.3483791649939783,0.5679510262873605,Knight
28000000,5000-9999,26310,14805,79712,0.33006322761942997,0.5627137970353477,Fireball
27000006,5000-9999,25940,14520,79712,0.3254215174628663,0.5597532767925983,Tesla
26000017,5000-9999,25214,14175,79712,0.3163137294259334,0.562187673514714,Wizard
28000008,5000-9999,22993,12683,79712,0.28845092332396627,0.5516026616796417,Zap
26000040,5000-9999,22309,12648,79712,0.27987003211561623,0.5669460755748801,Dart Goblin
26000041,5000-9999,22304,12496,79712,0.2798073063026897,0.56025824964132,Goblin Gang
26000004,5000-9999,22229,11961,79712,0.2788664191087917,0.5380808853299743,P.E.K.K.A
26000042,5000-9999,20973,11764,79712,0.26310969490164593,0.5609116483097316,Electro Wizard
26000015,5000-9999,20796,11007,79712,0.26088920112404657,0.5292844777841893,Baby Dragon
26000030,5000-9999,20501,11323,79712,0.25718837816138096,0.5523145212428662,Ice Spirit
26000010,5000-9999,20282,11015,79712,0.2544409875551987,0.5430923971994872,Skeletons
26000049,5000-9999,17704,9417,79712,0.222099558410277,0.5319136918210574,Bats
26000026,5000-9999,17393,9443,79712,0.2181980128462465,0.5429195653423792,Princess
27000000,5000-9999,17164,9118,79712,0.21532517061421116,0.5312281519459333,Cannon
26000016,5000-9999,15971,8543,79712,0.20035879164993978,0.5349070189718865,Prince
26000006,5000-9999,15813,8184,79712,0.19837665596146126,0.5175488522102067,Balloon
26000001,5000-9999,14819,7822,79712,0.185906764351666,0.5278358863621027,Archers
26000037,5000-9999,14440,7362,79712,0.1811521477318346,0.5098337950138504,Inferno Dragon
26000035,5000-9999,14222,7296,79712,0.17841730228823766,0.5130080157502461,Lumberjack
26000043,5000-9999,13832,7361,79712,0.1735246888799679,0.5321717755928282,Elite Barbarians
28000002,5000-9999,12088,6015,79712,0.15164592533119228,0.49760092653871607,Rage
26000014,5000-9999,11920,6100,79712,0.1495383380168607,0.511744966442953,Musketeer
26000005,5000-9999,11724,6125,79712,0.1470794861501405,0.522432616854316,Minions
28000015,5000-9999,11206,4886,79712,0.14058109193095142,0.43601641977512046,Barbarian Barrel
26000025,5000-9999,11016,5505,79712,0.13819751103974307,0.4997276688453159,Guards
26000046,5000-9999,10485,5240,79712,0.131536029706945,0.49976156413924655,Bandit
26000045,5000-9999,10408,5480,79712,0.13057005218787635,0.5265180630284396,Executioner
27000003,5000-9999,9960,5242,79712,0.12494981934965878,0.5263052208835342,Inferno Tower
26000027,5000-9999,9922,5134,79712,0.1244731031714171,0.517436000806289,Dark Prince
26000023,5000-9999,9689,4593,79712,0.12155008028904055,0.4740427288677882,Ice Wizard
26000062,5000-9999,9467,4883,79712,0.11876505419510237,0.515791697475441,Magic Archer
26000013,5000-9999,9424,4598,79712,0.11822561220393417,0.4879032258064516,Bomber
26000074,5000-9999,9397,4746,79712,0.11788689281413087,0.5050548047249122,Golden Knight
26000058,5000-9999,9260,4504,79712,0.1161682055399438,0.48639308855291574,Wall Breakers
28000012,5000-9999,9088,3829,79712,0.11401043757527098,0.421324823943662,Tornado
26000051,5000-9999,8557,4239,79712,0.1073489562424729,0.4953838962253126,Ram Rider
26000033,5000-9999,8535,4405,79712,0.10707296266559614,0.5161101347393088,Sparky
26000103,5000-9999,8316,4204,79712,0.1043255720594139,0.5055315055315055,Boss Bandit
26000008,5000-9999,8253,4053,79712,0.10353522681653954,0.4910941475826972,Barbarians
28000026,5000-9999,8068,4222,79712,0.10121437173825773,0.5233019335647,Vines
28000017,5000-9999,8020,3764,79712,0.10061220393416298,0.4693266832917706,Giant Snowball
28000009,5000-9999,7677,3536,79712,0.09630921316740265,0.460596587208545,Poison
26000063,5000-9999,7660,3607,79712,0.09609594540345243,0.47088772845953003,Electro Dragon
26000032,5000-9999,7632,3586,79712,0.09574468085106383,0.4698637316561845,Miner
26000022,5000-9999,7627,3976,79712,0.0956819550381373,0.5213058869804641,Minion Horde
26000056,5000-9999,7486,3819,79712,0.09391308711360899,0.5101522842639594,Skeleton Barrel
28000005,5000-9999,7165,3320,79712,0.08988608992372542,0.4633635729239358,Freeze
26000036,5000-9999,7150,3448,79712,0.08969791248494581,0.4822377622377622,Battle Ram
26000020,5000-9999,7124,3752,79712,0.08937173825772782,0.5266704098820887,Giant Skeleton
27000010,5000-9999,7060,3644,79712,0.08856884785226816,0.5161473087818697,Furnace
26000024,5000-9999,7015,3541,79712,0.08800431553592934,0.5047754811119031,Royal Giant
26000009,5000-9999,7005,3364,79712,0.08787886391007628,0.4802284082798001,Golem
26000084,5000-9999,6918,3426,79712,0.08678743476515456,0.49522983521248914,Electro Spirit
26000069,5000-9999,6727,3310,79712,0.0843913087113609,0.4920469748773599,Skeleton King
26000019,5000-9999,6684,3098,79712,0.0838518667201927,0.4634949132256134,Spear Goblins
28000003,5000-9999,6646,3230,79712,0.08337515054195102,0.48600662052362326,Rocket
