tag,name,trophies,clan_tag,clan_name
#GCUG9QRQC,Amias,8738,#G0VUYYRJ,Nova
#V2PUQJC0U,jonas,7549,#PY88YPPJ,Fire
#Y0QP8CY0,pedritoel97♧☆☆☆,10000,#QJUJJ898,ELITE
#V892JR0LJ,Arda,5208,#G9GRY8V0,STAR
#P99L0V2QP,viens on se bat,10000,#LQPG288U,Dragon
#VVC0Q2GJU,cxrruption,3112,#QPQG9GU0,Storm
#VUJ0LJ8JY,Ue.Icedragon,7588,#QC9JULL8,Dragon
#ULG8Y8J0P,NaS,8764,#V0229J,XYZ
#JYLG898PL,suiiiii,3777,#L2LU2YQP,dark
#U8JC08RV8,sebas_27,1151,#Q2UVGRQJ,GOD
#8QGJURPJ8,RageDoCR,8834,#L9RQRVRL,Storm
#RUUL9CL2P,LuizAmassaRuim,7030,#PY88YPPJ,Fire
#YYJGQCLPY,sergo,8000,#RGPVQRGY,The last of the
#2UGQLQYUG,Zottel,7590,#QC9JULL8,Dragon
#8R09P0CQY,Антон нуня,7233,#R8CVYV98,star
#JPYV9RGJV,manu_dmz,7455,#LQPG288U,Dragon
#V92202L2P,M1k12012,1053,#GRL9V2YU,Royal
#9VUY00GV,mr.bunn,10000,#8G0U9U2,nova
#VRPGCVGG2,agtotuff,723,#RJ982GJR,Storm
#JVYYYRLUP,bau_M20,7103,#G09U0QYG,queen
#CPQGQRYUU,Gandalf,10000,#Q09R0C9,Elite
#VUQ299VY9,mertens,10000,#QV88PQ90,Dark
#UQGJCURJ2,Josué Rotela,9751,#RQPL292P,Queen
#CGUUPG9PP,Jeff_the_Bot,10000,#QU8LQQ2C,NoVa
#CVLGL8YJP,Abluiz,8030,#QV88CRU0,Dark
#VGURY2VLY,foro_pgtz,3985,#GY9PJGV0,Queen
#P2YRUJPQ2,Venia8o8,4941,#Q9JQV90Q,Fire
#GR09PY0J,King,7806,#P2CVP80G,God
#Y8URV0YCR,LilBeast290,7561,#L9RQRVRL,Storm
#L99RQV0PQ,halilais,9625,#G29CQUL0,CLAN CLAN CLAN
#JVRJC0UV2,Nico Hanma,8077,#LCLGPPCP,King
#CRPJVC092,whisky,5437,#YQGQ9LC9,ABC ABC ABC ABC
#QCGCU8P,MatrixΩ,8803,#8G0U9U2,nova
#V0UCJJGCL,vinnie 123,4833,#QYVGVR9G,STAR
#VPCPPRVP8,dizzin_do_grau,6696,#GJP2YVJ0,Elite
#YUGJUJJVC,jmpneo,9892,#QVLRL2RQ,ELITE
#9VU22VU9P,brandon,4932,#G02UQRGL,STAR
#VP8YR9C2Y,CHOONTHEGOAT,1000,#RLJPCLUJ,GOD
#QYQG9888,xeondark,10000,#2PYUVQVV,nova
#GG089L9,jinso72,10000,#LCLGPPCP,King
#VCLGV9G0U,CarlosGOD,1278,#R0GV9PCU,god god god god
#YPPRVYY0P,Muse2.0,4200,#Q9JQV90Q,Fire
#PVPCURUCJ,cornel,9656,#RRC0RJUQ,royal
#QV8L2LQ8R,MWB❤沒有技能,9375,#QVVYC89J,QUEEN
#P0CQVLJLY,Tim der beste,6500,#QUY9JL9L,XYZ
#PR9UCV8V9,ZaiiF2,9530,#QYC0CUJ9,NOVA
#2QJLGYCLJ,Bünii,9636,#QC9JULL8,Dragon
#9V92VPU82,HulkBros,9429,#QVVYC89J,QUEEN
#U8P2LLPJQ,leostifmaister,7740,#Q2UVGRQJ,GOD
#8GCR0Q2,Super Game God,10000,#8G0U9U2,nova
#YY8RGQC9J,pro,2224,#YYRLUVRU,ABC ABC ABC ABC
#YV2QVCYQ,arenaking,10000,#Q09R0C9,Elite
#20QCLGU0J0,EFIR,1000,#G22J02RC,NINJA
#UQYJYGGQJ,F_AMIR_R,7120,#L2LU2YQP,dark
#PYR0V9GYU,@yfg.txddyzxp,9444,#QU0PRCGP,NOVA
#PPRJJGY0,EnderSlayer256,5553,#LRUYVPU9,ELITE
#ULJUVQYQC,Perashki,2391,#GQY9V800,MeGa
#Q9L8JG2L,superme,9290,#9GCVJGVC,war war war
#2YP00QGLP,Edu,6268,#L89U8J0R,ABC ABC ABC ABC
#8RJVQLR0G,lil uzi verrrrt,10000,#LPLGQ0YV,King
#20J882UJJR,Hamam,1822,#P2YVJUY9,Dark
#G9UYQQCQL,h1ta,6168,#G02UQRGL,STAR
#J20PG9LVC,Guille22,7311,#Q0QUUJGR,GOD
#9GY90LCRC,⚡️Bazinga!⚡️,9299,#QJ80LQJU,ELITE
#RQJLJ02GL,고구마찌게,8389,#G9GRY8V0,STAR
#L9RG0LV2L,Emerson 12,6132,#YQGQ9LC9,ABC ABC ABC ABC
#VG2UQGLJC,deleon,9653,#GCG9LGVU,Star
#UVRU29UQG,Бойник,6900,#G9C8Q9YP,The
#80VJJCQY,KEERTHIVAASAN,9859,#G00JU9JY,royal
#YURPG9CPV,$DERECK$,8597,#G29CQUL0,CLAN CLAN CLAN
#YUJQGYLUC,Rehaan,7238,#RY8RPLU9,KING
#V90R2CPJU,Omk420,2000,#G08J999P,DARk
#9C8UCCY2L,zzxrzx,6000,#GU99U89P,FIRE
#PVJCRY29,Nessa,10000,#Y2GLLC2,ELITE
#8JYY8VRG,Itachi,9621,#9P9PJ0GQ,War War War
#YQU292LP0,MTR CAMUNGA√,4750,#YQGQ9LC9,ABC ABC ABC ABC
#YJGPV8Q0Y,JetRaptor922,8611,#9VULRLL0,STAR
#RY282GRQ,Floki,10000,#QVLRL2RQ,ELITE
#QUCJ8QL,Baby Carl,7869,#QVP9JRU2,xyz
#YY28YQP9U,ICH❤️KINDER,7733,#GV2280RQ,ABC
#CVLUYUQL2,Lucas,4839,#LJUQQRCU,The
#V92VPU029,cosmicvagabond,3440,#QGJPV090,DARK
#U8UJ0P2CG,skshm,9665,#9GCVJGVC,war war war
#ULL8UPG0Q,Noemy22,1153,#LCYU2Q9U,storm
#2ULGULVJR,gokusan,9353,#R82JV0YJ,Ninja
#2LV290GY,GreenTV7,9529,#LCLGPPCP,King
#8Y22GYYR2,SERGI❤️ᵗᵐ,10000,#QU2C28VY,Knight
#CRYRLUGY2,drFrog,6895,#Q8YP8JY9,Knight
#C090PG92G,????,3877,#R99CYLGY,STAR
#20PLGLLLQR,TheSaiyan1519,4458,#900RUJUY,clan clan clan
#RYJY0P8YU,hasoony,10000,#V0229J,XYZ
#CVVPCRUGJ,鹏鱼雁,8738,#R02QP2VY,Nova
#GPUVQ009G,midge,8245,#900RUJUY,clan clan clan
#RCJR9GU88,elpiolin,7526,#9VULRLL0,STAR
#CPCJQUPJR,smash,4702,#YQGQ9LC9,ABC ABC ABC ABC
#VQPPJ2CLP,ullas,7033,#LCLGPPCP,King
#RULVLLQ2L,mali,10000,#9P9PJ0GQ,War War War
#V2Y9QC2RU,SeigeR6,1242,#QPQG9GU0,Storm
#VQU08R9VR,arthur,9062,#GRRU8GUL,royal
#UG9VG8JL2,dukili,8710,#Q8YP8JY9,Knight
#VLGUVRQ0P,Matteo,7030,#900RUJUY,clan clan clan
#QGLYG8U00,МаксимКостылев,2312,#G8R90UG9,The
#QC88CV2GC,Lololowka,9758,#R82JV0YJ,Ninja
#GV8JRYU2V,Haekiq,10000,#RQ2UG800,ELITE
#VJR8V9RYG,hosen,4507,#GQVPRLUU,God
#999U8YP2,lenn020,6854,#LU2UPYUG,Clan
#JQ0JGVY90,franklin,641,#L9CLJJRJ,God God God God
#UPVLY02GR,I♡femboys,8000,#QVVYC89J,QUEEN
#208Y8R9Q9,TIAGO,7831,#PY88YPPJ,Fire
#9CUPRVLUU,Fábio.M19,6895,#GJP2YVJ0,Elite
#2PP0PV99J,8RADER,9174,#QJUJJ898,ELITE
#V89GVPCJ,kaway27,628,#YJPJQJQ8,star
#VJ9J0ULQY,Levi,5749,#G29L90CC,Knight Knight
#PYLP9QQ0Q,SaifTheBomber,9614,#V0229J,XYZ
#Y289G0CJ8,Awesomeness,3833,#PV22GJJY,fire
#GR9R8JQLU,Jet Jet,3274,#QPQG9GU0,Storm
